apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,Ada rilis {} baru untuk aplikasi berikut
apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,Silakan pilih Field Jumlah.
apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,Memuat file impor...
DocType: Assignment Rule,Last User,Pengguna Terakhir
apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","Tugas baru, {0}, yang ditugaskan kepada anda oleh {1}. {2}"
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,Default Sesi Disimpan
apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,Muat Ulang File
DocType: Email Queue,Email Queue records.,Data Antrian Email.
DocType: Post,Post,Posting
DocType: Address,Punjab,Punjab
apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,Ubah nama banyak item sekaligus dengan mengunggah file .csv.
DocType: Workflow State,pause,pause
apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,Anda tidak diizinkan mengakses halaman ini.
DocType: About Us Settings,Website,Situs Web
apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,Anda harus login untuk mengakses halaman ini
DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,Catatan: Beberapa sesi diperbolehkan dalam hal perangkat mobile
DocType: DocType,Form Settings,Pengaturan Form
apps/frappe/frappe/templates/emails/download_data.html,Download Data,Unduh Data
apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,Pastikan Konfirmasi {0}?
apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,Unduh File Cadangan
DocType: Address,County,Kabupaten
DocType: Workflow,If Checked workflow status will not override status in list view,"Jika dicentang, status alur kerja tidak akan menggantikan status di tampilan list"
apps/frappe/frappe/client.py,Invalid file path: {0},Lokasi file salah: {0}
DocType: Workflow State,eye-open,eye-open
DocType: Email Queue,Send After,Kirim Setelah
apps/frappe/frappe/utils/file_manager.py,Please select a file or url,Pilih file atau url
apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,Tree {0}
DocType: User,User Emails,Email Pengguna
DocType: User,Username,Nama Pengguna
apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,Impor Zip
apps/frappe/frappe/model/base_document.py,Value too big,Nilai terlalu besar
DocType: DocField,DocField,DocField
DocType: GSuite Settings,Run Script Test,Jalankan Skrip Test
apps/frappe/frappe/desk/doctype/event/event.py,Select Google Calendar to which event should be synced.,Pilih Google Kalender untuk sinkronisasi event.
DocType: Data Import,Total Rows,Total Baris
DocType: Contact,Department,Departemen
DocType: DocField,Options,Options
apps/frappe/frappe/client.py,Cannot edit standard fields,Tidak dapat mengedit field standar
DocType: Print Format,Print Format Builder,Pembuat Format Cetak
DocType: GCalendar Account,Calendar Name,Nama Kalender
DocType: Report,Report Manager,Pengelola Laporan
DocType: Workflow,Document States,Status Dokumen
apps/frappe/frappe/public/js/frappe/views/pageview.js,Sorry! I could not find what you were looking for.,Maaf! Yang anda cari tidak ditemukan.
DocType: Data Migration Run,Logs,Log
apps/frappe/frappe/public/js/frappe/views/kanban/kanban_view.js,There was an error saving filters,Terjadi kesalahan saat menyimpan filter
DocType: Custom DocPerm,This role update User Permissions for a user,Peran ini memperbarui Hak Akses untuk seorang pengguna
apps/frappe/frappe/public/js/frappe/model/model.js,Rename {0},Ubah nama {0}
DocType: Workflow State,zoom-out,zoom-out
DocType: Data Import Beta,Import Options,Pilihan Impor
