DocType: Accounting Period,Period Name,Nama Periode
DocType: Employee,Salary Mode,Moda Gaji
apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Daftar
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Diterima Sebagian
DocType: Patient,Divorced,Bercerai
DocType: Support Settings,Post Route Key,Kunci Rute Posting
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Barang yang sama dapat ditambahkan beberapa kali dalam satu transaksi
DocType: Content Question,Content Question,Pertanyaan Konten
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Batalkan Kunjungan Pemeliharaan {0} sebelum membatalkan Klaim Garansi ini
DocType: Customer Feedback Table,Qualitative Feedback,Umpan Balik Kualitatif
apps/erpnext/erpnext/config/education.py,Assessment Reports,Laporan Penilaian
DocType: Invoice Discounting,Accounts Receivable Discounted Account,Akun Diskonto Piutang
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,Dibatalkan
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Produk Konsumsi
DocType: Supplier Scorecard,Notify Supplier,Beritahu Pemasok
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,Pilih Jenis Pihak terlebih dulu
DocType: Item,Customer Items,Pelanggan
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,Kewajiban
DocType: Project,Costing and Billing,Biaya dan Penagihan
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Valuta akun Uang Muka harus sama dengan Valuta perusahaan {0}
DocType: QuickBooks Migrator,Token Endpoint,Endpoint Token
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Akun {0}: Akun Induk {1} tidak bisa berupa buku besar
DocType: Item,Publish Item to hub.erpnext.com,Sertakan Item di marketplace
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Tidak ada Periode Cuti aktif
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,Evaluasi
DocType: Item,Default Unit of Measure,Standar Satuan Ukur
DocType: SMS Center,All Sales Partner Contact,Semua Kontak Mitra Penjualan
DocType: Department,Leave Approvers,Pemberi Izin Cuti
DocType: Employee,Bio / Cover Letter,CV / Surat Lamaran
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Cari Item...
DocType: Patient Encounter,Investigations,Investigasi
DocType: Restaurant Order Entry,Click Enter To Add,Klik Enter Untuk Menambah
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Tidak ada Kata Sandi, Kunci API, atau URL Shopify"
DocType: Employee,Rented,Sewaan
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Semua Akun
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Tidak bisa memindahkan Karyawan berstatus Keluar
DocType: Vehicle Service,Mileage,Jarak Tempuh
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Apakah anda benar ingin membuang aset ini?
DocType: Drug Prescription,Update Schedule,Perbarui Jadwal
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Pilih Pemasok Standar
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Tampilkan Karyawan
DocType: Payroll Period,Standard Tax Exemption Amount,Standar Jumlah Pengecualian Pajak
DocType: Exchange Rate Revaluation Account,New Exchange Rate,Nilai Tukar Baru
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Valuta harus diisi untuk Daftar Harga {0}
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Akan dihitung dalam transaksi.
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,Kontak Pelanggan
DocType: Shift Type,Enable Auto Attendance,Aktifkan Kehadiran Otomatis
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Masukkan Gudang dan Tanggal
DocType: Lost Reason Detail,Opportunity Lost Reason,Alasan Peluang Hilang
DocType: Patient Appointment,Check availability,Periksa ketersediaan
DocType: Retention Bonus,Bonus Payment Date,Tanggal Pembayaran Bonus
DocType: Employee,Job Applicant,Pelamar Kerja
DocType: Job Card,Total Time in Mins,Total Waktu dalam Menit
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,Berdasarkan transaksi terhadap Pemasok ini. Lihat linimasa di bawah untuk rincian
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Prosentase Overproduksi Untuk Perintah Kerja
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Legal,Hukum
DocType: Sales Invoice,Transport Receipt Date,Tanggal Nota Transport
DocType: Shopify Settings,Sales Order Series,Seri Order Penjualan
DocType: Vital Signs,Tongue,Lidah
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Actual type tax cannot be included in Item rate in row {0},Jenis pajak aktual tidak bisa dimasukkan dalam tarif Produk di baris {0}
DocType: Allowed To Transact With,Allowed To Transact With,Diperbolehkan Bertransaksi Dengan
DocType: Bank Guarantee,Customer,Pelanggan
DocType: Purchase Receipt Item,Required By,Diperlukan Pada
DocType: Delivery Note,Return Against Delivery Note,Retur Terhadap Nota Pengiriman
DocType: Asset Category,Finance Book Detail,Rincian Buku Keuangan
apps/erpnext/erpnext/assets/doctype/asset/asset.py,All the depreciations has been booked,Semua penyusutan telah dibukukan
DocType: Purchase Order,% Billed,% Ditagih
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Payroll Number,Nomor Penggajian
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Exchange Rate must be same as {0} {1} ({2}),Kurs harus sama dengan {0} {1} ({2})
DocType: Employee Tax Exemption Declaration,HRA Exemption,Pengecualian HRA
DocType: Sales Invoice,Customer Name,Nama Pelanggan
DocType: Vehicle,Natural Gas,Gas Alam
DocType: Project,Message will sent to users to get their status on the project,Pesan akan dikirim ke pengguna untuk mendapatkan status mereka di proyek
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank account cannot be named as {0},Akun bank tidak bisa dinamakan sebagai {0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA sesuai Struktur Gaji
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,Induk (atau kelompok) terhadap mana Entri Pembukuan dibuat dan saldo diperhitungkan.
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Outstanding for {0} cannot be less than zero ({1}),Nilai untuk {0} tidak bisa kurang dari nol ({1})
apps/erpnext/erpnext/public/js/controllers/transaction.js,Service Stop Date cannot be before Service Start Date,Tanggal Penghentian Layanan tidak boleh sebelum Tanggal Mulai Layanan
DocType: Manufacturing Settings,Default 10 mins,Standar 10 menit
DocType: Leave Type,Leave Type Name,Nama Jenis Cuti
apps/erpnext/erpnext/templates/pages/projects.js,Show open,Tampilkan Terbuka
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Series Updated Successfully,Nomor Seri Berhasil Diperbarui
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html,Checkout,Lanjut ke Pembayaran
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} in row {1},{0} di baris {1}
DocType: Asset Finance Book,Depreciation Start Date,Tanggal Mulai Depresiasi
DocType: Pricing Rule,Apply On,Terapkan Pada
DocType: Item Price,Multiple Item prices.,Harga Multi Produk
,Purchase Order Items To Be Received,Item Order Pembelian Akan Diterima
DocType: SMS Center,All Supplier Contact,Semua Kontak Pemasok
DocType: Support Settings,Support Settings,Pengaturan Purnajual
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},Akun {0} ditambahkan di perusahaan anak {1}
apps/erpnext/erpnext/erpnext_integrations/doctype/exotel_settings/exotel_settings.py,Invalid credentials,Kredensial tidak benar
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Available (whether in full op part),ITC Tersedia (baik dalam bagian op penuh)
DocType: Amazon MWS Settings,Amazon MWS Settings,Pengaturan Amazon MWS
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,Memproses Voucher
apps/erpnext/erpnext/utilities/transaction_base.py,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Baris #{0}: Tarif harus sama dengan {1}: {2} ({3} / {4})
,Batch Item Expiry Status,Status Kadaluarsa Barang Batch
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Bank Draft,Bank Draft
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Late Entries,Total Entri Keterlambatan
DocType: Mode of Payment Account,Mode of Payment Account,Akun Cara Pembayaran
apps/erpnext/erpnext/config/healthcare.py,Consultation,Konsultasi
DocType: Accounts Settings,Show Payment Schedule in Print,Tampilkan Jadwal Pembayaran di Cetakan
apps/erpnext/erpnext/stock/doctype/item/item.py,Item Variants updated,Varian Barang diperbarui
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Sales and Returns,Penjualan dan Retur
apps/erpnext/erpnext/stock/doctype/item/item.js,Show Variants,Tampilkan Varian
DocType: Academic Term,Academic Term,Termin Akademis
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,Sub Kategori Pengecualian Pajak Karyawan
apps/erpnext/erpnext/regional/italy/utils.py,Please set an Address on the Company '%s',Masukkan Alamat di Perusahaan '%s'
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py,Material,Material
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Tunjangan maksimum karyawan {0} melebihi {1} sejumlah {2} dari pro-rata nilai komponen pengajuan tunjangan \ ditambah jumlah yang dicairkan sebelumnya
DocType: Opening Invoice Creation Tool Item,Quantity,Kuantitas
,Customers Without Any Sales Transactions,Pelanggan Tanpa Transaksi Penjualan
