1,DocType: Accounting Period,Period Name,Nama Periode
2,DocType: Employee,Salary Mode,Moda Gaji
3,apps/erpnext/erpnext/public/js/hub/marketplace.js,Register,Daftar
4,apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Partially Received,Diterima Sebagian
5,DocType: Patient,Divorced,Bercerai
6,DocType: Support Settings,Post Route Key,Kunci Rute Posting
7,DocType: Buying Settings,Allow Item to be added multiple times in a transaction,Barang yang sama dapat ditambahkan beberapa kali dalam satu transaksi
8,DocType: Content Question,Content Question,Pertanyaan Konten
9,apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py,Cancel Material Visit {0} before cancelling this Warranty Claim,Batalkan Kunjungan Pemeliharaan {0} sebelum membatalkan Klaim Garansi ini
10,DocType: Customer Feedback Table,Qualitative Feedback,Umpan Balik Kualitatif
11,apps/erpnext/erpnext/config/education.py,Assessment Reports,Laporan Penilaian
12,DocType: Invoice Discounting,Accounts Receivable Discounted Account,Akun Diskonto Piutang
13,apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting_list.js,Canceled,Dibatalkan
14,apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Consumer Products,Produk Konsumsi
15,DocType: Supplier Scorecard,Notify Supplier,Beritahu Pemasok
16,apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js,Please select Party Type first,Pilih Jenis Pihak terlebih dulu
17,DocType: Item,Customer Items,Pelanggan
18,apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Liabilities,Kewajiban
19,DocType: Project,Costing and Billing,Biaya dan Penagihan
20,apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Advance account currency should be same as company currency {0},Valuta akun Uang Muka harus sama dengan Valuta perusahaan {0}
21,DocType: QuickBooks Migrator,Token Endpoint,Endpoint Token
22,apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} can not be a ledger,Akun {0}: Akun Induk {1} tidak bisa berupa buku besar
23,DocType: Item,Publish Item to hub.erpnext.com,Sertakan Item di marketplace
24,apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Cannot find active Leave Period,Tidak ada Periode Cuti aktif
25,apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py,Evaluation,Evaluasi
26,DocType: Item,Default Unit of Measure,Standar Satuan Ukur
27,DocType: SMS Center,All Sales Partner Contact,Semua Kontak Mitra Penjualan
28,DocType: Department,Leave Approvers,Pemberi Izin Cuti
29,DocType: Employee,Bio / Cover Letter,CV / Surat Lamaran
30,apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Search Items ...,Cari Item...
31,DocType: Patient Encounter,Investigations,Investigasi
32,DocType: Restaurant Order Entry,Click Enter To Add,Klik Enter Untuk Menambah
33,apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py,"Missing value for Password, API Key or Shopify URL","Tidak ada Kata Sandi, Kunci API, atau URL Shopify"
34,DocType: Employee,Rented,Sewaan
35,apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,All Accounts,Semua Akun
36,apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Cannot transfer Employee with status Left,Tidak bisa memindahkan Karyawan berstatus Keluar
37,DocType: Vehicle Service,Mileage,Jarak Tempuh
38,apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to scrap this asset?,Apakah anda benar ingin membuang aset ini?
39,DocType: Drug Prescription,Update Schedule,Perbarui Jadwal
40,apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Select Default Supplier,Pilih Pemasok Standar
41,apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js,Show Employee,Tampilkan Karyawan
42,DocType: Payroll Period,Standard Tax Exemption Amount,Standar Jumlah Pengecualian Pajak
43,DocType: Exchange Rate Revaluation Account,New Exchange Rate,Nilai Tukar Baru
44,apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Currency is required for Price List {0},Valuta harus diisi untuk Daftar Harga {0}
45,DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,* Akan dihitung dalam transaksi.
46,DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
47,DocType: Purchase Order,Customer Contact,Kontak Pelanggan
48,DocType: Shift Type,Enable Auto Attendance,Aktifkan Kehadiran Otomatis
49,apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Please enter Warehouse and Date,Masukkan Gudang dan Tanggal
50,DocType: Lost Reason Detail,Opportunity Lost Reason,Alasan Peluang Hilang
51,DocType: Patient Appointment,Check availability,Periksa ketersediaan
52,DocType: Retention Bonus,Bonus Payment Date,Tanggal Pembayaran Bonus
53,DocType: Employee,Job Applicant,Pelamar Kerja
54,DocType: Job Card,Total Time in Mins,Total Waktu dalam Menit
55,apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,This is based on transactions against this Supplier. See timeline below for details,Berdasarkan transaksi terhadap Pemasok ini. Lihat linimasa di bawah untuk rincian
56,DocType: Manufacturing Settings,Overproduction Percentage For Work Order,Prosentase Overproduksi Untuk Perintah Kerja
