1,apps/frappe/frappe/utils/change_log.py,New {} releases for the following apps are available,Ada rilis {} baru untuk aplikasi berikut
2,apps/frappe/frappe/website/doctype/web_form/web_form.py,Please select a Amount Field.,Silakan pilih Field Jumlah.
3,apps/frappe/frappe/core/doctype/data_import_beta/data_import_beta.js,Loading import file...,Memuat file impor...
4,DocType: Assignment Rule,Last User,Pengguna Terakhir
5,apps/frappe/frappe/desk/form/assign_to.py,"A new task, {0}, has been assigned to you by {1}. {2}","Tugas baru, {0}, yang ditugaskan kepada anda oleh {1}. {2}"
6,apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js,Session Defaults Saved,Default Sesi Disimpan
7,apps/frappe/frappe/public/js/frappe/form/controls/attach.js,Reload File,Muat Ulang File
8,DocType: Email Queue,Email Queue records.,Data Antrian Email.
9,DocType: Post,Post,Posting
10,DocType: Address,Punjab,Punjab
11,apps/frappe/frappe/config/settings.py,Rename many items by uploading a .csv file.,Ubah nama banyak item sekaligus dengan mengunggah file .csv.
12,DocType: Workflow State,pause,pause
13,apps/frappe/frappe/public/js/frappe/web_form/webform_script.js,You are not permitted to access this page.,Anda tidak diizinkan mengakses halaman ini.
14,DocType: About Us Settings,Website,Situs Web
15,apps/frappe/frappe/www/third_party_apps.py,You need to be logged in to access this page,Anda harus login untuk mengakses halaman ini
16,DocType: System Settings,Note: Multiple sessions will be allowed in case of mobile device,Catatan: Beberapa sesi diperbolehkan dalam hal perangkat mobile
17,DocType: DocType,Form Settings,Pengaturan Form
18,apps/frappe/frappe/templates/emails/download_data.html,Download Data,Unduh Data
19,apps/frappe/frappe/public/js/frappe/form/form.js,Permanently Submit {0}?,Pastikan Konfirmasi {0}?
20,apps/frappe/frappe/desk/page/backups/backups.js,Download Files Backup,Unduh File Cadangan
21,DocType: Address,County,Kabupaten
22,DocType: Workflow,If Checked workflow status will not override status in list view,"Jika dicentang, status alur kerja tidak akan menggantikan status di tampilan list"
23,apps/frappe/frappe/client.py,Invalid file path: {0},Lokasi file salah: {0}
24,DocType: Workflow State,eye-open,eye-open
25,DocType: Email Queue,Send After,Kirim Setelah
26,apps/frappe/frappe/utils/file_manager.py,Please select a file or url,Pilih file atau url
27,apps/frappe/frappe/public/js/frappe/views/treeview.js,{0} Tree,Tree {0}
28,DocType: User,User Emails,Email Pengguna
29,DocType: User,Username,Nama Pengguna
30,apps/frappe/frappe/public/js/frappe/views/file/file_view.js,Import Zip,Impor Zip
31,apps/frappe/frappe/model/base_document.py,Value too big,Nilai terlalu besar
32,DocType: DocField,DocField,DocField
33,DocType: GSuite Settings,Run Script Test,Jalankan Skrip Test
34,apps/frappe/frappe/desk/doctype/event/event.py,Select Google Calendar to which event should be synced.,Pilih Google Kalender untuk sinkronisasi event.
35,DocType: Data Import,Total Rows,Total Baris
36,DocType: Contact,Department,Departemen
37,DocType: DocField,Options,Options
38,apps/frappe/frappe/client.py,Cannot edit standard fields,Tidak dapat mengedit field standar
39,DocType: Print Format,Print Format Builder,Pembuat Format Cetak
40,DocType: GCalendar Account,Calendar Name,Nama Kalender
41,DocType: Report,Report Manager,Pengelola Laporan
42,DocType: Workflow,Document States,Status Dokumen
